Année,Attendance
2005,9000
2006,15000
2007,15000
2008,50000
2009,90000
2010,180000
2011,270000
2012,270000
2013,270000
2014,540000
2015,270000
2016,270000
2017,400000
2018,400000
2019,400000
2022,600000
2023,400000
